session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
629135136c8dbf1f589602a5,6160d1a2fb2d3f37206c66f9,APPROVED,2022-05-27 20:31:15.376000,2022-05-27 21:40:00.322000,4124.946,19,45,0,100,2022-05-27 21:40:00.484000,Manual Completion,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,Yes
629135162adf100331fb4f1e,615494c60df566552eb04677,APPROVED,2022-05-27 20:31:18.289000,2022-05-27 21:14:03.479000,2565.19,58,104,0,100,2022-05-27 22:09:12.195000,NOCODE,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,No
6291351eff20c27ecd46dc48,6149810b20e456cd0d8c3675,APPROVED,2022-05-27 20:31:26.526000,2022-05-27 21:07:00.535000,2134.009,19,53,1,100,2022-05-27 22:09:12.267000,NOCODE,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,Yes
629135219ff2faa9fac681c5,613a83cf8dd59de91973823e,TIMED-OUT,2022-05-27 20:31:29.503000,,168464.818321,26,48,1,100,,,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,Yes
6291352380821a89454a9bfe,61427638cf7d53661a232858,TIMED-OUT,2022-05-27 20:35:26.533000,,168227.804427,28,29,0,100,,,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,No
62913566c2134eb724a0d86b,61466a9b26c5985a58b104de,APPROVED,2022-05-27 20:32:38.193000,2022-05-27 20:43:35.827000,657.634,33,53,1,100,2022-05-27 22:09:12.334000,NOCODE,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,No
6291358c3b3f817751e30494,613da2f481d2755038340eee,APPROVED,2022-05-27 20:33:16.635000,2022-05-27 21:06:37.901000,2001.266,28,145,0,100,2022-05-27 22:09:12.401000,NOCODE,Mexico,Mexico,Full-Time,Spanish,Mexico,Male,No
629135997ef2ba39c19cc41f,614e213596851b757aca62d2,RETURNED,2022-05-27 20:33:33.175000,,168341.206681,25,54,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
629135a0f1f71a1caf5e513b,613bce66b4c708c1dd29f038,APPROVED,2022-05-27 20:33:36.507000,2022-05-27 20:48:40.950000,904.443,19,56,2,96,2022-05-27 22:09:12.468000,NOCODE,Mexico,Mexico,Other,Spanish,Mexico,Female,Yes
629135a7d0f2c9a032f801ca,613aa61e15f46c009b1de936,APPROVED,2022-05-27 20:33:43.650000,2022-05-27 21:07:28.601000,2024.951,21,77,1,100,2022-05-27 22:09:12.526000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,Yes
629135aed667b674ef7cb3ed,6043f909d14273455e5e7436,APPROVED,2022-05-27 20:33:50.249000,2022-05-27 21:04:25.857000,1835.608,22,111,2,99,2022-05-27 22:09:12.589000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,Yes
629135ba4530c354eb5b8c61,615f3c64daae99cf4ac6916c,TIMED-OUT,2022-05-27 20:34:02.956000,,168311.486369,28,72,0,100,,,Mexico,Mexico,Part-Time,Spanish,Mexico,Male,Yes
629135ca2a86237709865459,5f37827296047220405dccd3,APPROVED,2022-05-27 20:34:18.720000,2022-05-27 20:56:17.649000,1318.929,25,128,0,100,2022-05-27 22:09:12.648000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Male,Yes
629135cca23e9f83745da26d,613cc17e41ff5ec4fdf2c966,TIMED-OUT,2022-05-27 20:34:20.289000,,168294.180081,33,92,0,100,,,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,No
629135d611348262d0db2cd6,616c5184f5f58cc79f9bcf9b,APPROVED,2022-05-27 20:39:27.213000,2022-05-27 21:12:15.283000,1968.07,21,79,1,100,2022-05-27 22:09:12.730000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,Yes
629135de8805ad8fbdea9d5e,601857c3c3f5ce0c3e5fb913,TIMED-OUT,2022-05-27 20:34:38.945000,,168275.551334,23,168,1,100,,,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Male,No
629135e23c91815ced769b86,6149fb285d57641b5d6be834,APPROVED,2022-05-27 20:34:42.266000,2022-05-27 20:57:56.919000,1394.653,21,81,0,100,2022-05-27 22:09:12.818000,NOCODE,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,Yes
629135e39e8945c39802c15e,613a26a35ad3d30b30d80cbf,APPROVED,2022-05-27 20:34:43.944000,2022-05-27 21:02:08.251000,1644.307,49,105,2,99,2022-05-27 22:09:12.881000,NOCODE,Mexico,Mexico,Full-Time,Spanish,Mexico,Male,No
629135e544950c7dc4ef029e,5ee4273dba332e11f6e28676,APPROVED,2022-05-27 20:34:51.738000,2022-05-27 21:16:44.643000,2512.905,24,275,0,100,2022-05-27 22:09:12.950000,NOCODE,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,No
629135eedbe51c8763066a04,614254caca61eb2f1ee5df31,APPROVED,2022-05-27 20:39:07.156000,2022-05-27 21:05:04.175000,1557.019,31,72,1,100,2022-05-27 22:09:13.010000,NOCODE,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,Yes
629135f1d14c467db26a800d,615316621143bec862a6b5e4,RETURNED,2022-05-27 20:35:00.985000,,168253.577753,33,88,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
629135fda9e84ebe9bfcdec4,602ebe4863f201af3b563b30,APPROVED,2022-05-27 20:35:09.063000,2022-05-27 21:05:28.244000,1819.181,28,52,0,100,2022-05-27 22:09:13.075000,NOCODE,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,Yes
6291360be7fdcb6b6a67dcfd,6160e15fcaeeeae935667a3c,APPROVED,2022-05-27 20:35:49.637000,2022-05-27 21:11:23.493000,2133.856,21,45,0,100,2022-05-27 22:09:13.137000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Male,Yes
62913611431c146ba066b78f,5f527fcd94f94754853db0e5,APPROVED,2022-05-27 20:35:29.946000,2022-05-27 21:17:17.182000,2507.236,21,244,1,100,2022-05-27 22:09:13.198000,NOCODE,Mexico,Mexico,Other,Spanish,Mexico,Male,Yes
62913615f53b8127bfc6d4dd,613ade3331abc4ffc48ed2c7,TIMED-OUT,2022-05-27 20:35:33.587000,,168221.03003,25,51,0,100,,,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,No
