"","daily_eng_use","eng_proficiency","L2_aoo","teaching","accentedness","comprehensibility","id","trash","participant","age","Country.of.Birth","Current.Country.of.Residence","First.Language","Nationality","Sex"
"1","4.01171875","7.96875","10","No",3.0625,7.84375,"469805","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"2",NA,NA,"10","No",4.947916667,6.854166667,"469875","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"3",NA,NA,"10","No",7.9375,7.96875,"485605","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"4",NA,NA,"10","No",2.135416667,5.9375,"469639","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"5",NA,NA,"10","No",8.989583333,8.9375,"488322","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"6",NA,NA,"10","No",8.96875,8.96875,"488322","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"7",NA,NA,"10","No",1.416666667,8.083333333,"485976","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"8",NA,NA,"10","No",5.020833333,3.010416667,"485507","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"9",NA,NA,"10","No",1.114583333,2.302083333,"484573","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"10",NA,NA,"10","No",4.989583333,7.03125,"469737","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"11",NA,NA,"10","No",6.864583333,7.958333333,"472263","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"12",NA,NA,"10","No",1.0625,1.322916667,"484271","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"13",NA,NA,"10","No",1.03125,1.09375,"484271","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"14",NA,NA,"10","No",2.052083333,3.9375,"469558","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"15",NA,NA,"10","No",3.895833333,7.895833333,"480419","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"16",NA,NA,"10","No",5,5,"470408","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"17",NA,NA,"10","No",3.010416667,5,"481962","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"18",NA,NA,"10","No",1.03125,3.083333333,"485976","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"19",NA,NA,"10","No",6.9375,6.84375,"481532","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"20",NA,NA,"10","No",3.041666667,1.020833333,"471720","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
"21",NA,NA,"10","No",1.0625,8.916666667,"484457","sentence","5ab33d98580b990001730708",26,"Mexico","Mexico","Spanish","Mexico","Male"
