"","Measure","Value"
"1","Mean Empathy","28.77 (8.69)"
"2","Mean Openness","28.59 (8.55)"
"3","Mean Lextale","64.77 (4.79)"
"4","Mean Accentedness","4.14 (1.32)"
"5","Mean Comprehensibility","6.23 (1.26)"
