"","prolific.id","totals","real_correct","real_incorrect","nonse_correct","nonse_incorrect","n_real","n_nonse","n","lextale_avg","lextale_tra"
"1","6132e1c8bab771d0d0f6f3e9",89,46,5,14,24,51,38,89,63.5190918472652,-2
"2","558a9729fdf99b6567d005ab",90,40,17,20,13,57,33,90,65.3907496012759,14
"3","571905e72090bb0011154e77",90,40,18,20,12,58,32,90,65.7327586206897,16
"4","5753094eae5241000659cac4",90,44,9,16,21,53,37,90,63.1310555838858,2
"5","5898b6e256357700011c2c6b",90,45,16,15,14,61,29,90,62.7473148671566,17
"6","59349d79f1b3f00001964d04",90,40,13,20,17,53,37,90,64.7628760836308,6
"7","596e1af7a09655000197d4bb",90,57,5,3,25,62,28,90,51.3248847926267,7
"8","59c6305e6a287600011c388d",90,25,25,35,5,50,40,90,68.75,15
"9","5a5479b4ac56240001537ffa",90,40,15,20,15,55,35,90,64.9350649350649,10
"10","5c076bc5e30c400001fc6f5a",90,38,4,22,26,42,48,90,68.1547619047619,-14
"11","5d61cd67d882d6001ab29af3",90,25,17,35,13,42,48,90,66.2202380952381,-1
"12","5dc483cf74939e34e55c3619",90,50,19,10,11,69,21,90,60.0414078674948,28
"13","5dd3cfb7b103ee3b428185b2",90,46,17,14,13,63,27,90,62.4338624338624,20
"14","5e799448fb3c7055cdee5ecd",90,38,8,22,22,46,44,90,66.304347826087,-6
"15","5ec55212bfb2ff4fb33a4321",90,48,18,12,12,66,24,90,61.3636363636364,24
"16","5edcfe625cd39c9efd5cc2ae",90,45,13,15,17,58,32,90,62.2306034482759,11
"17","5ef9df1812148a78af8e76dc",90,40,21,20,9,61,29,90,67.2696438665913,22
"18","5f22bdb732432502a2615f3f",90,38,24,22,6,62,28,90,69.9308755760369,26
"19","5f9057735c69b00e72665f84",90,55,17,5,13,72,18,90,52.0833333333333,29
"20","5fa4c21a04bc5912180291bc",90,44,4,16,26,48,42,90,64.8809523809524,-8
"21","5fed41e3e14422f5e308c6e5",90,48,20,12,10,68,22,90,62.5668449197861,28
"22","606ca81043fc54382a7808fe",90,58,27,2,3,85,5,90,54.1176470588235,52
"23","6094c0e7af94737806eca8f2",90,48,26,12,4,74,16,90,69.9324324324324,40
"24","60bc18bb8b971280ef13060c",90,47,21,13,9,68,22,90,64.1042780748663,29
"25","60c24c8ec01a8596ba5c8b85",90,47,20,13,10,67,23,90,63.335496430889,27
"26","60c7848a39b4e7ecc85259be",180,97,35,23,25,132,48,180,60.7007575757576,47
"27","60ca3935fb64d56e11014643",90,56,28,4,2,84,6,90,66.6666666666667,52
"28","60d9d5516e2331b6fd0af144",90,43,12,17,18,55,35,90,63.3766233766234,7
"29","60f0dcbc59e623de37ddc745",90,37,24,23,6,61,29,90,69.9830412662521,25
"30","60fd9ffd7fb294e3f1647ea8",90,46,12,14,18,58,32,90,61.5301724137931,10
"31","60fdeea193e44e2887e1ef22",90,40,19,20,11,59,31,90,66.1563696008748,18
"32","60ff3a07d734239b4406270b",90,39,15,21,15,54,36,90,65.2777777777778,9
"33","61007de25d1a5d74904865cd",90,48,24,12,6,72,18,90,66.6666666666667,36
"34","6107397d50df8745777f484e",90,39,29,21,1,68,22,90,76.403743315508,37
"35","610806925b7eacfe8864a03c",90,45,20,15,10,65,25,90,64.6153846153846,25
"36","610896842809a23ed3b9fbfa",90,35,7,25,23,42,48,90,67.7083333333333,-11
"37","6110d7ea72ac2b9522e224bd",90,30,23,30,7,53,37,90,68.8424273329934,16
"38","6112c911a83cc494df38b468",90,38,13,22,17,51,39,90,65.4600301659125,4
"39","615d2c8c1f115ada18a68869",90,36,17,24,13,53,37,90,66.3946965833758,10
"40","6171bb82253ee2b53418591b",90,30,21,30,9,51,39,90,67.8733031674208,12
"41","61741ba984f258d5c6a1303c",90,34,24,26,6,58,32,90,69.9353448275862,22
