"","prolific.id","open_score"
"1","558a9729fdf99b6567d005ab",28
"2","571905e72090bb0011154e77",17
"3","5753094eae5241000659cac4",29
"4","5898b6e256357700011c2c6b",36
"5","59349d79f1b3f00001964d04",24
"6","596e1af7a09655000197d4bb",33
"7","59c6305e6a287600011c388d",33
"8","5a5479b4ac56240001537ffa",30
"9","5c076bc5e30c400001fc6f5a",13
"10","5d61cd67d882d6001ab29af3",22
"11","5dc483cf74939e34e55c3619",18
"12","5dd3cfb7b103ee3b428185b2",14
"13","5e799448fb3c7055cdee5ecd",33
"14","5ec55212bfb2ff4fb33a4321",19
"15","5edcfe625cd39c9efd5cc2ae",37
"16","5ef9df1812148a78af8e76dc",27
"17","5f22bdb732432502a2615f3f",25
"18","5f9057735c69b00e72665f84",21
"19","5fa4c21a04bc5912180291bc",21
"20","5fed41e3e14422f5e308c6e5",19
"21","606ca81043fc54382a7808fe",34
"22","6094c0e7af94737806eca8f2",43
"23","60bc18bb8b971280ef13060c",22
"24","60c24c8ec01a8596ba5c8b85",28
"25","60c7848a39b4e7ecc85259be",42
"26","60ca3935fb64d56e11014643",46
"27","60d9d5516e2331b6fd0af144",34
"28","60f0dcbc59e623de37ddc745",45
"29","60fd9ffd7fb294e3f1647ea8",35
"30","60fdeea193e44e2887e1ef22",33
"31","60ff3a07d734239b4406270b",18
"32","61007de25d1a5d74904865cd",27
"33","6107397d50df8745777f484e",30
"34","610806925b7eacfe8864a03c",26
"35","610896842809a23ed3b9fbfa",27
"36","6110d7ea72ac2b9522e224bd",32
"37","6112c911a83cc494df38b468",24
"38","6132e1c8bab771d0d0f6f3e9",48
"39","615d2c8c1f115ada18a68869",36
"40","6171bb82253ee2b53418591b",22
"41","61741ba984f258d5c6a1303c",40
