"","id","mean_acc","mean_comp"
"1","469431",4.99326926132056,7.67376335145645
"2","469440",6.37579102211268,7.98318887535563
"3","469495",3.70806044669231,6.25458074153846
"4","469553",4.54994894179649,6.17301217385614
"5","469558",2.35712845895789,6.02686247998597
"6","469581",3.55074294493706,5.23430586256993
"7","469614",6.00944123505965,7.63575696475439
"8","469635",4.14807435484669,5.14453332381882
"9","469639",3.53432173505944,6.2302735722972
"10","469737",4.35824055950699,6.82584645784615
"11","469805",4.6590049281958,6.52100458673427
"12","469865",3.54652860198958,6.46173553661111
"13","469875",5.29156580620486,7.50950145082292
"14","469883",7.10768104355088,8.02607753764211
"15","469909",4.70458047769686,6.77305890402091
"16","470408",5.00332986033566,7.24367842725175
"17","470901",6.14912267932867,7.17088748944755
"18","471720",2.2484554534669,3.15001443056794
"19","472263",4.9425256577193,6.68151278278596
"20","472268",3.4596855449654,6.47627957269896
"21","475707",3.80092920323077,6.34798744495804
"22","477072",3.48679570763158,5.65105808598246
"23","479845",3.75349402573958,6.37002788908681
"24","479904",3.78442118512111,6.21770475217647
"25","480419",5.89025203705923,7.21437734456794
"26","481532",2.58024313572125,3.75162310415331
"27","481962",4.39407172344211,5.35899133888421
"28","484271",1.620388435,2.77082095837979
"29","484457",3.39467674215331,6.97405895572125
"30","484549",1.97420297247719,4.68997222694386
"31","484573",2.48282411635315,3.91217445778671
"32","484860",3.83557070033566,5.29087998924475
"33","485507",4.90341071676655,5.98679485045645
"34","485567",3.49617247263158,6.71717293198246
"35","485605",5.40353187305227,7.13968503055749
"36","485976",2.59948751661189,6.35604301094056
"37","487696",3.38096484874386,6.44358783113333
"38","487969",3.64685223182168,6.73664304537413
"39","488322",6.45757952778521,7.79914411924296
