"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","Condition_Id","hunter_story","prolific_id","q1","q2","q3","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",1,"task_1","1","1","1","blockNr_1_taskNr_1_trialNr_1_hunter_story.mp3","g","","","","yes","","","2022-05-04T15:05:04.000Z",416658,"group_1",469219,"session_1",1,"2022-05-04T15:04:36.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","","5eaef287fb863f5c922abad9","","","","yes","","","2022-05-04T16:58:40.000Z",416771,"group_1",469362,"session_1",1,"2022-05-04T16:57:15.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","blockNr_1_taskNr_1_trialNr_1_hunter_story.mp3","606ca81043fc54382a7808fe","","","","yes","","","2022-05-04T17:43:20.000Z",416828,"group_1",469431,"session_1",1,"2022-05-04T17:23:23.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","blockNr_1_taskNr_1_trialNr_1_hunter_story.mp3","61741ba984f258d5c6a1303c","","","","yes","","","2022-05-04T17:39:18.000Z",416836,"group_1",469440,"session_1",1,"2022-05-04T17:37:09.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","blockNr_1_taskNr_1_trialNr_1_hunter_story.mp3","5ffe6b8b773ec452c1d28adc","","","","yes","","","2022-05-04T17:50:19.000Z",416837,"group_1",469441,"session_1",1,"2022-05-04T17:31:06.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","","60fda48d86ec268c13639ec1","","","","yes","","","2022-05-04T18:06:07.000Z",416848,"group_1",469457,"session_1",1,"2022-05-04T18:04:04.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","","6109be40c17bf873b352cbef","","","","yes","","","2022-05-04T18:50:54.000Z",416893,"group_1",469510,"session_1",1,"2022-05-04T18:42:59.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","blockNr_1_taskNr_1_trialNr_1_hunter_story.mp3","5ef9df1812148a78af8e76dc","","","","yes","","","2022-05-04T18:33:07.000Z",416880,"group_1",469495,"session_1",1,"2022-05-04T18:29:17.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","","5ff5f7ad932d56101bf7c90d","","","","yes","","","2022-05-04T18:49:01.000Z",416895,"group_1",469514,"session_1",1,"2022-05-04T18:45:40.000Z","","","","not measured","",true
1,"block_1",1,"task_1","1","1","1","","5f989fa02b5a611b2df1a305","","","","yes","","","2022-05-04T18:49:14.000Z",416896,"group_1",469516,"session_1",1,"2022-05-04T18:45:39.000Z","","","","not measured","",true
